year,month,site,block,plot,cum_mammal,shan_mammal,rich_mammal
2016,October,Intermediate,1,Partial,12,0.748017,2
2016,October,Arid,1,Open,13,0.5895476,2
2016,October,Arid,1,Partial,42,1.0016857,4
2016,October,Arid,1,Total,34,1.2446206,4
2016,October,Arid,2,Open,13,0.5895476,2
2016,October,Arid,2,Partial,42,1.0016857,4
2016,October,Arid,2,Total,34,1.2446206,4
2016,October,Arid,3,Open,13,0.5895476,2
2016,October,Arid,3,Partial,42,1.0016857,4
2016,October,Arid,3,Total,34,1.2446206,4
2016,November,Mesic,1,Open,48,1.1649914,3
2016,November,Mesic,1,Partial,62,1.3021472,4
2016,November,Mesic,1,Total,72,1.1596465,4
2016,November,Mesic,2,Open,48,1.1649914,3
2016,November,Mesic,2,Partial,62,1.3021472,4
2016,November,Mesic,2,Total,72,1.1596465,4
2016,November,Mesic,3,Open,48,1.1649914,3
2016,November,Mesic,3,Partial,62,1.3021472,4
2016,November,Mesic,3,Total,72,1.1596465,4
2016,November,Intermediate,1,Total,23,0.687067,2
2016,November,Intermediate,2,Open,8,0.5895476,2
2016,November,Intermediate,2,Partial,12,0.748017,2
2016,November,Intermediate,2,Total,23,0.687067,2
2016,November,Intermediate,3,Open,8,0.5895476,2
2016,November,Intermediate,3,Partial,12,0.748017,2
2016,November,Intermediate,3,Total,23,0.687067,2
2016,November,Intermediate,1,Open,8,0.5895476,2
2016,November,Intermediate,1,Partial,12,0.748017,2
2016,November,Arid,1,Open,13,0.5895476,2
2016,November,Arid,1,Partial,42,1.0016857,4
2016,November,Arid,1,Total,34,1.2446206,4
2016,November,Arid,2,Open,13,0.5895476,2
2016,November,Arid,2,Partial,42,1.0016857,4
2016,November,Arid,2,Total,34,1.2446206,4
2016,November,Arid,3,Open,13,0.5895476,2
2016,November,Arid,3,Partial,42,1.0016857,4
2016,November,Arid,3,Total,34,1.2446206,4
2016,December,Arid,1,Open,13,0.5895476,2
2016,December,Arid,1,Partial,42,1.0016857,4
2016,December,Arid,1,Total,34,1.2446206,4
2016,December,Arid,2,Open,13,0.5895476,2
2016,December,Arid,2,Partial,42,1.0016857,4
2016,December,Arid,2,Total,34,1.2446206,4
2016,December,Arid,3,Open,13,0.5895476,2
2016,December,Arid,3,Partial,42,1.0016857,4
2016,December,Arid,3,Total,34,1.2446206,4
2016,December,Intermediate,2,Open,8,0.5895476,2
2016,December,Intermediate,2,Partial,12,0.748017,2
2016,December,Intermediate,2,Total,23,0.687067,2
2016,December,Intermediate,3,Open,8,0.5895476,2
2016,December,Intermediate,3,Partial,12,0.748017,2
2016,December,Intermediate,3,Total,23,0.687067,2
2016,December,Intermediate,1,Open,8,0.5895476,2
2016,December,Intermediate,1,Partial,12,0.748017,2
2016,December,Intermediate,1,Total,23,0.687067,2
2016,December,Mesic,1,Open,48,1.1649914,3
2016,December,Mesic,1,Partial,62,1.3021472,4
2016,December,Mesic,1,Total,72,1.1596465,4
2016,December,Mesic,2,Open,48,1.1649914,3
2016,December,Mesic,2,Partial,62,1.3021472,4
2016,December,Mesic,2,Total,72,1.1596465,4
2016,December,Mesic,3,Open,48,1.1649914,3
2016,December,Mesic,3,Partial,62,1.3021472,4
2016,December,Mesic,3,Total,72,1.1596465,4
2017,January,Arid,2,Open,13,0.5895476,2
2017,January,Arid,2,Partial,42,1.0016857,4
2017,January,Arid,2,Total,34,1.2446206,4
2017,January,Arid,1,Open,13,0.5895476,2
2017,January,Arid,1,Partial,42,1.0016857,4
2017,January,Arid,1,Total,34,1.2446206,4
2017,January,Arid,3,Open,13,0.5895476,2
2017,January,Arid,3,Partial,42,1.0016857,4
2017,January,Arid,3,Total,34,1.2446206,4
2017,January,Intermediate,3,Open,8,0.5895476,2
2017,January,Intermediate,3,Partial,12,0.748017,2
2017,January,Intermediate,3,Total,23,0.687067,2
2017,January,Intermediate,2,Open,8,0.5895476,2
2017,January,Intermediate,2,Total,23,0.687067,2
2017,January,Intermediate,2,Partial,12,0.748017,2
2017,January,Intermediate,1,Total,23,0.687067,2
2017,January,Intermediate,1,Open,8,0.5895476,2
2017,January,Intermediate,1,Partial,12,0.748017,2
2017,January,Mesic,1,Total,72,1.1596465,4
2017,January,Mesic,1,Partial,62,1.3021472,4
2017,January,Mesic,1,Open,48,1.1649914,3
2017,January,Mesic,2,Total,72,1.1596465,4
2017,January,Mesic,2,Partial,62,1.3021472,4
2017,January,Mesic,2,Open,48,1.1649914,3
2017,January,Mesic,3,Total,72,1.1596465,4
2017,January,Mesic,3,Partial,62,1.3021472,4
2017,January,Mesic,3,Open,48,1.1649914,3
2017,February,Intermediate,1,Open,8,0.5895476,2
2017,February,Intermediate,1,Partial,12,0.748017,2
2017,February,Intermediate,1,Total,23,0.687067,2
2017,February,Intermediate,2,Open,8,0.5895476,2
2017,February,Intermediate,2,Partial,12,0.748017,2
2017,February,Intermediate,2,Total,23,0.687067,2
2017,February,Intermediate,3,Open,8,0.5895476,2
2017,February,Intermediate,3,Partial,12,0.748017,2
2017,February,Intermediate,3,Total,23,0.687067,2
2017,February,Mesic,1,Open,48,1.1649914,3
2017,February,Mesic,1,Partial,62,1.3021472,4
2017,February,Mesic,1,Total,72,1.1596465,4
2017,February,Mesic,2,Open,48,1.1649914,3
2017,February,Mesic,2,Partial,62,1.3021472,4
2017,February,Mesic,2,Total,72,1.1596465,4
2017,February,Mesic,3,Open,48,1.1649914,3
2017,February,Mesic,3,Partial,62,1.3021472,4
2017,February,Mesic,3,Total,72,1.1596465,4
2017,February,Arid,1,Open,13,0.5895476,2
2017,February,Arid,1,Partial,42,1.0016857,4
2017,February,Arid,1,Total,34,1.2446206,4
2017,February,Arid,2,Open,13,0.5895476,2
2017,February,Arid,2,Partial,42,1.0016857,4
2017,February,Arid,2,Total,34,1.2446206,4
2017,February,Arid,3,Open,13,0.5895476,2
2017,February,Arid,3,Partial,42,1.0016857,4
2017,February,Arid,3,Total,34,1.2446206,4
2017,March,Intermediate,1,Open,8,0.5895476,2
2017,March,Intermediate,1,Partial,12,0.748017,2
2017,March,Intermediate,1,Total,23,0.687067,2
2017,March,Intermediate,2,Open,8,0.5895476,2
2017,March,Intermediate,2,Partial,12,0.748017,2
2017,March,Intermediate,2,Total,23,0.687067,2
2017,March,Intermediate,3,Open,8,0.5895476,2
2017,March,Intermediate,3,Partial,12,0.748017,2
2017,March,Intermediate,3,Total,23,0.687067,2
2017,March,Mesic,1,Open,48,1.1649914,3
2017,March,Mesic,1,Partial,62,1.3021472,4
2017,March,Mesic,1,Total,72,1.1596465,4
2017,March,Mesic,2,Open,48,1.1649914,3
2017,March,Mesic,2,Partial,62,1.3021472,4
2017,March,Mesic,2,Total,72,1.1596465,4
2017,March,Mesic,3,Open,48,1.1649914,3
2017,March,Mesic,3,Partial,62,1.3021472,4
2017,March,Mesic,3,Total,72,1.1596465,4
2017,March,Arid,1,Open,13,0.5895476,2
2017,March,Arid,1,Partial,42,1.0016857,4
2017,March,Arid,1,Total,34,1.2446206,4
2017,March,Arid,2,Open,13,0.5895476,2
2017,March,Arid,2,Partial,42,1.0016857,4
2017,March,Arid,2,Total,34,1.2446206,4
2017,March,Arid,3,Open,13,0.5895476,2
2017,March,Arid,3,Partial,42,1.0016857,4
2017,March,Arid,3,Total,34,1.2446206,4
2017,April,Intermediate,3,Open,8,0.5895476,2
2017,April,Intermediate,3,Partial,12,0.748017,2
2017,April,Intermediate,3,Total,23,0.687067,2
2017,April,Intermediate,2,Open,8,0.5895476,2
2017,April,Intermediate,2,Total,23,0.687067,2
2017,April,Intermediate,2,Partial,12,0.748017,2
2017,April,Intermediate,1,Total,23,0.687067,2
2017,April,Intermediate,1,Open,8,0.5895476,2
2017,April,Intermediate,1,Partial,12,0.748017,2
2017,April,Mesic,1,Total,72,1.1596465,4
2017,April,Mesic,1,Partial,62,1.3021472,4
2017,April,Mesic,1,Open,48,1.1649914,3
2017,April,Mesic,2,Total,72,1.1596465,4
2017,April,Mesic,2,Partial,62,1.3021472,4
2017,April,Mesic,2,Open,48,1.1649914,3
2017,April,Mesic,3,Total,72,1.1596465,4
2017,April,Mesic,3,Partial,62,1.3021472,4
2017,April,Mesic,3,Open,48,1.1649914,3
2017,April,Arid,2,Open,13,0.5895476,2
2017,April,Arid,2,Partial,42,1.0016857,4
2017,April,Arid,2,Total,34,1.2446206,4
2017,April,Arid,1,Open,13,0.5895476,2
2017,April,Arid,1,Partial,42,1.0016857,4
2017,April,Arid,1,Total,34,1.2446206,4
2017,April,Arid,3,Open,13,0.5895476,2
2017,April,Arid,3,Partial,42,1.0016857,4
2017,April,Arid,3,Total,34,1.2446206,4
2017,April,Intermediate,2,Open,8,0.5895476,2
2017,April,Intermediate,2,Partial,12,0.748017,2
2017,April,Intermediate,2,Total,23,0.687067,2
2017,April,Intermediate,3,Open,8,0.5895476,2
2017,April,Intermediate,3,Partial,12,0.748017,2
2017,April,Intermediate,3,Total,23,0.687067,2
2017,April,Intermediate,1,Open,8,0.5895476,2
2017,April,Intermediate,1,Partial,12,0.748017,2
2017,April,Intermediate,1,Total,23,0.687067,2
2017,April,Mesic,1,Open,48,1.1649914,3
2017,April,Mesic,1,Partial,62,1.3021472,4
2017,April,Mesic,1,Total,72,1.1596465,4
2017,April,Mesic,2,Open,48,1.1649914,3
2017,April,Mesic,2,Partial,62,1.3021472,4
2017,April,Mesic,2,Total,72,1.1596465,4
2017,April,Mesic,3,Open,48,1.1649914,3
2017,April,Mesic,3,Partial,62,1.3021472,4
2017,April,Mesic,3,Total,72,1.1596465,4
2017,April,Arid,1,Open,13,0.5895476,2
2017,April,Arid,1,Partial,42,1.0016857,4
2017,April,Arid,1,Total,34,1.2446206,4
2017,April,Arid,2,Open,13,0.5895476,2
2017,April,Arid,2,Partial,42,1.0016857,4
2017,April,Arid,2,Total,34,1.2446206,4
2017,April,Arid,3,Open,13,0.5895476,2
2017,April,Arid,3,Partial,42,1.0016857,4
2017,April,Arid,3,Total,34,1.2446206,4
