country,code,area_sqkm,population,GDP_capita,dalys,tree_cover_loss_ha
Chad,TCD,1259200,15016761,665.9488849,708906.1144,6765.138654
Togo,TGO,54390,7698476,830.7452767,496224.6678,7186.209751
Thailand,THA,510890,69209817,6593.818352,139865.064,196456.5063
Tajikistan,TJK,138786,8880270,848.6723799,5992.385256,0.121153872
Turkmenistan,TKM,469930,5757667,6587.092604,1889.85281,0.061047255
Timor,TLS,14870,1243260,1286.406785,5288.270247,1713.243284
Trinidad and Tobago,TTO,5130,1384060,16173.74005,1026.422937,739.1110298
Tunisia,TUN,155360,11433438,3481.241106,2559.795292,8525.836503
Turkey,TUR,769630,81116451,10589.66772,10008.88915,33901.12336
Tanzania,TZA,885800,54660345,1004.906588,1384673.344,194875.8611
Uganda,UGA,200520,41166588,746.8307512,1905385.647,116902.4545
Ukraine,UKR,579290,44831135,2640.675677,20730.70921,85860.91492
Uruguay,URY,175020,3436645,18690.89384,437.0852112,21859.3474
United States,USA,9147420,325122128,60109.65573,64227.06407,2311358.03
Uzbekistan,UZB,425400,32388600,1826.566919,24621.17492,1.694133047
Saint Vincent and the Grenadines,VCT,390,109826,7213.025857,67.77848091,30.79835
Venezuela,VEN,882050,29402480,16055.64532,83772.60423,166982.302
United States Virgin Islands,VIR,350,107281,36287.87949,46.36851341,1126.425149
Vietnam,VNM,310070,94600643,2365.521615,329302.9098,286940.2922
Vanuatu,VUT,12190,285499,3082.475083,445.3371875,436.0919411
South Africa,ZAF,1213090,57009751,6131.47945,104401.0449,94055.92503
Zambia,ZMB,743390,16853608,1535.196574,391948.5999,162681.4736
Zimbabwe,ZWE,386850,14236599,1335.665064,92517.02767,25978.30455
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
